(7662, 2997)
(5253, 1359)
(5113, 1652)
(6158, 3733)
(7066, 1609)
(3633, 4907)
(2680, 143)
(1981, 1519)
(560, 227)
(5222, 2242)
(1815, 190)
(2471, 223)
(1809, 4849)
(7329, 4344)
(2772, 956)
(1693, 1406)
(4988, 3039)
(1342, 2437)
(6638, 4681)
(2246, 4765)
(3497, 3346)
(4956, 1096)
(6138, 86)
(3747, 1967)
(1778, 3516)
(870, 5336)
(6833, 1400)
(670, 3021)
(331, 2)
(5251, 1172)
(2198, 273)
(4869, 3526)
(7742, 442)
(3293, 3890)
(379, 3710)
(2036, 1778)
(4759, 1166)
(7504, 2774)
(5463, 1889)
(2547, 1253)
(2123, 4776)
(5876, 4692)
(5367, 2726)
(7816, 3257)
(2786, 4455)
(2956, 371)
(4068, 3562)
(4520, 2843)
(4322, 831)
(4958, 252)
(839, 3168)
(4130, 1556)
(58, 3546)
(481, 947)
(6922, 279)
(7361, 3764)
(1665, 3889)
(4609, 618)
(1641, 787)
(5414, 2183)
(5521, 1670)
(4412, 740)
(6248, 669)
(3439, 397)
(6136, 5343)
(4172, 3180)
(2613, 1648)
(420, 3093)
(4774, 4736)
(4850, 1494)
(4758, 534)
(2903, 26)
(6812, 4077)
(7333, 2062)
(5101, 204)
(7697, 1620)
(583, 2174)
(6950, 4980)
(2646, 3605)
(3608, 3574)
(7845, 738)
(6620, 3906)
(6950, 4596)
(205, 3136)
(2771, 3710)
(2043, 1027)
(4235, 96)
(2862, 111)
(1181, 2188)
(405, 999)
(6926, 4547)
(3983, 4656)
(81, 3901)
(7133, 4956)
(7674, 5023)
(359, 4910)
(3151, 1302)
(6706, 4825)
(4169, 2514)
(3710, 1668)
(3764, 1485)
(781, 5141)
(1359, 416)
(3234, 4690)
(7033, 5381)
(31, 2197)
(6461, 847)
(2346, 4297)
(1762, 1528)
(6582, 3852)
(660, 2558)
(6590, 520)
(5308, 3091)
(2868, 5208)
(2771, 2782)
(6249, 4186)
(5607, 3187)
(1529, 3099)
(2885, 4636)
(195, 704)
(1323, 3231)
(6500, 5036)
(2968, 5270)
(4271, 1212)
(7316, 2357)
(4507, 3890)
(2863, 5260)
(4716, 5313)
(6929, 5389)
(5980, 4804)
(6665, 3123)
(4025, 4892)
(7854, 5402)
(640, 2218)
(7036, 4034)
(5934, 2909)
(3199, 1052)
(4290, 2651)
(5888, 4181)
(6537, 1654)
(5099, 902)
(5, 2525)
(3659, 3880)
(6934, 4223)
(871, 1013)
(3482, 3617)
(7828, 883)
(6712, 3606)
(2605, 1147)
(3313, 1057)
(1370, 4556)
(6763, 1328)
(7198, 3986)
(5741, 3411)
(4348, 5152)
(2345, 3641)
(2635, 1)
(5945, 2082)
(4521, 656)
(5736, 3911)
(4931, 3353)
(4, 2477)
(6297, 5092)
(6253, 3295)
(958, 4045)
(3767, 331)
(7434, 5361)
(3236, 3281)
(2358, 2779)
(5431, 2342)
(2764, 2818)
(6025, 68)
(276, 3056)
(3026, 3249)
(755, 2541)
(5383, 4184)
(6421, 878)
(5717, 2843)
(3300, 1370)
(5785, 4997)
(6811, 987)
(5997, 3002)
(3620, 1236)
(3729, 5324)
(2937, 2620)
(7728, 2167)
(4778, 615)
(6503, 4452)
(3520, 1411)
(6366, 2481)
(6779, 762)
(5904, 730)
(538, 4137)
(4872, 1754)
(1860, 1608)
(3697, 2319)
(6009, 5089)
(1404, 4860)
(6614, 1274)
(6716, 1719)
(2504, 178)
(2198, 3194)
(7575, 2299)
(5487, 4683)
(2518, 5024)
(5197, 4073)
(3524, 4083)
(3790, 4792)
(6725, 1637)
(2797, 2692)
(7963, 1034)
(2060, 3671)
(5365, 1111)
(6254, 4786)
(4693, 5196)
(3366, 5340)
(5285, 5034)
(4252, 2529)
(3299, 4939)
(7254, 2897)
(1678, 420)
(742, 4080)
(2940, 1235)
(88, 5165)
(6691, 3342)
(4891, 5193)
(5735, 1960)
(1472, 633)
(4545, 1134)
(7996, 1520)
(4777, 3129)
(737, 1054)
(5060, 4887)
(3159, 3977)
(4077, 1740)
(1980, 959)
(6261, 1289)
(5332, 1728)
(404, 1886)
(7339, 5143)
(5662, 4646)
(696, 156)
(1223, 2471)
(3027, 2680)
(424, 5034)
